City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
516,sumbe,-11.2061,13.8437,25.150000000000034,87,99,5.06,AO,1701242814
517,pisco,-13.7,-76.2167,18.340000000000032,88,99,1.03,PE,1701242815
518,fergus falls,46.283,-96.0776,0.29000000000002046,92,0,3.09,US,1701242815
519,meadow lake,34.8014,-106.5436,4.520000000000039,41,70,1.33,US,1701242816
520,shenjiamen,29.9576,122.298,17.310000000000002,66,18,3.45,CN,1701242816
521,chas,23.6333,86.1667,28.629999999999995,36,0,2.31,IN,1701242817
522,poronaysk,49.2167,143.1167,-7.449999999999989,81,100,7.59,RU,1701242817
523,komotini,41.1228,25.3964,12.810000000000002,87,15,0.47,GR,1701242817
524,hays,30.0502,-98.0336,10.350000000000023,62,100,0.89,US,1701242767
525,sao joaquim,-28.2939,-49.9317,12.700000000000045,99,100,1.36,BR,1701242818
526,kimbe,-5.5502,150.1429,28.53000000000003,82,45,0.79,PG,1701242818
527,santa cruz,-17.8,-63.1667,22.700000000000045,94,75,8.23,BO,1701242818
528,bandarbeyla,9.4942,50.8122,27.680000000000007,62,96,11.18,SO,1701242819
529,turpan,42.9333,89.1667,10.390000000000043,26,100,0.72,CN,1701242819
530,louisville,38.2542,-85.7594,-3.9899999999999523,65,0,2.57,US,1701242819
531,bafilo,9.35,1.2667,23.370000000000005,67,81,0.89,TG,1701242820
532,tsetserleg,47.475,101.4542,-11.839999999999975,72,4,1.6,MN,1701242820
533,urucurituba,-2.6833,-57.6667,24.350000000000023,88,80,0.96,BR,1701242820
534,micheweni,-4.9667,39.8333,28.99000000000001,69,11,2.08,TZ,1701242820
535,uige,-7.6087,15.0613,20.49000000000001,93,98,0.48,AO,1701242820
536,cibinong,-6.4817,106.8542,33.27000000000004,54,26,1.61,ID,1701242821
537,vanimo,-2.6741,141.3028,28.78000000000003,78,100,2.96,PG,1701242821
538,tibanbang,6.6315,126.1055,28.360000000000014,75,39,1.99,PH,1701242822
539,karacoban,39.3492,42.1124,-0.8299999999999841,64,100,0.29,TR,1701242822
540,kinablangan,7.6947,126.5503,28.170000000000016,79,94,2.25,PH,1701242822
541,spassk,52.747,87.7545,-0.13999999999998636,88,12,2.68,RU,1701242822
542,haiku-pauwela,20.9219,-156.3051,22.80000000000001,87,40,2.57,US,1701242823
543,al bawiti,28.3492,28.8659,15.640000000000043,45,0,1.38,EG,1701242823
544,tual,-5.6667,132.75,29.08000000000004,68,16,1.42,ID,1701242823
545,talnakh,69.4865,88.3972,-23.97999999999999,98,31,2.0,RU,1701242823
546,pirae,-17.5167,-149.5333,28.010000000000048,74,40,2.57,PF,1701242825
547,oranjemund,-28.55,16.4333,19.120000000000005,60,0,4.74,NA,1701242825
548,awjilah,29.1081,21.2869,15.29000000000002,34,0,3.66,LY,1701242826
549,zemio,5.0314,25.1361,25.340000000000032,77,100,1.25,CF,1701242826
550,twon-brass,4.3151,6.2418,27.33000000000004,80,100,3.61,NG,1701242826
551,talara,-4.5772,-81.2719,20.560000000000002,83,31,6.37,PE,1701242554
552,ouadda,8.0777,22.4007,26.400000000000034,32,99,3.17,CF,1701242827
553,taksimo,56.3444,114.8794,-15.939999999999998,82,100,2.13,RU,1701242827
554,ubari,26.5921,12.7805,17.760000000000048,22,100,1.9,LY,1701242827
555,kresttsy,58.2452,32.5165,-9.42999999999995,96,89,2.48,RU,1701242827
556,cudillero,43.5622,-6.1459,13.510000000000048,99,75,1.54,ES,1701242828
557,labuan,5.2767,115.2417,31.200000000000045,70,20,2.06,MY,1701242828
558,lagoa,39.05,-27.9833,17.760000000000048,86,100,2.92,PT,1701242828
559,tommot,58.9564,126.2925,-16.91999999999996,94,100,5.27,RU,1701242828
560,prado,-17.3411,-39.2208,23.350000000000023,93,25,3.24,BR,1701242813
561,lerwick,60.1545,-1.1494,4.0,70,100,10.27,GB,1701242829
562,kristiansund,63.1115,7.732,-1.9699999999999704,68,0,7.72,NO,1701242829
563,tangalle,6.024,80.7911,31.090000000000032,74,100,2.88,LK,1701242830
564,port saint john's,-31.6229,29.5448,19.510000000000048,61,100,8.71,ZA,1701242830
565,port isabel,26.0734,-97.2086,16.02000000000004,78,100,3.6,US,1701242830
566,susuman,62.7833,148.1667,-24.359999999999985,99,100,0.44,RU,1701242831
567,almenara,-16.1836,-40.6944,21.430000000000007,95,93,1.15,BR,1701242831
568,necochea,-38.5473,-58.7368,17.310000000000002,97,100,2.99,AR,1701242831
569,al hindiyah,32.5433,44.2225,16.730000000000018,30,100,6.32,IQ,1701242832
570,el colomo,19.05,-104.25,25.78000000000003,66,100,1.71,MX,1701242832
571,la passe,45.5549,-0.8967,0.12999999999999545,84,75,3.31,FR,1701242832
572,ronne,55.1009,14.7066,-4.0499999999999545,93,100,4.12,DK,1701242833
573,shalqar,47.8333,59.6,0.8400000000000318,73,100,9.44,KZ,1701242833
574,punta del este,-34.9667,-54.95,20.54000000000002,89,20,1.34,UY,1701242834
